date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2010-06-28,79.32,,0.0,0.0,0.003489,0.0,1.0,1.219159
2010-06-29,81.06,,0.0,0.0,-0.010295,-0.0,1.0,1.206608
2010-06-30,75.89,,0.0,0.0,-0.012689,-0.0,1.0,1.191297
2010-07-01,76.13,,0.0,0.0,-0.010275,-0.0,1.0,1.179056
2010-07-02,72.96,,0.0,0.0,0.010571,0.0,1.0,1.191519
2010-07-05,75.47,,0.0,0.0,0.014899,0.0,1.0,1.209272
2010-07-06,83.65,,0.0,0.0,0.014586,0.0,1.0,1.22691
2010-07-07,86.97,,0.0,0.0,-0.001857,-0.0,1.0,1.224632
2010-07-08,88.79,93.07,0.0,0.0,0.009873,0.0,1.0,1.236723
2010-07-09,92.53,93.018,0.0,0.0,0.005047,0.0,1.0,1.242964
2010-07-12,95.84,93.094,1.0,0.0,-0.001007,-0.0,1.0,1.241713
2010-07-13,94.55,93.166,1.0,1.0,-0.005515,-0.005715,0.994285,1.234865
2010-07-14,104.7,93.266,1.0,1.0,0.015412,0.015412,1.009609,1.253896
2010-07-15,108.26,93.38,1.0,1.0,-0.001295,-0.001295,1.008302,1.252273
2010-07-16,107.82,93.632,1.0,1.0,-0.005185,-0.005185,1.003073,1.245779
2010-07-19,109.79,93.838,1.0,1.0,-0.001923,-0.001923,1.001144,1.243384
2010-07-20,113.58,93.952,1.0,1.0,0.008131,0.008131,1.009284,1.253493
2010-07-21,74.18,93.876,0.0,1.0,-0.001393,-0.001393,1.007879,1.251748
2010-07-22,79.48,93.8,0.0,0.0,-0.004538,-0.0002,1.007677,1.246067
2010-07-23,85.67,93.632,0.0,0.0,0.012376,0.0,1.007677,1.261489
2010-07-26,87.96,93.464,0.0,0.0,0.00338,0.0,1.007677,1.265752
2010-07-27,88.7,93.342,0.0,0.0,-0.005065,-0.0,1.007677,1.259341
2010-07-28,91.88,93.266,0.0,0.0,0.00475,0.0,1.007677,1.265323
2010-07-29,96.95,93.38,1.0,0.0,0.001821,0.0,1.007677,1.267628
2010-07-30,99.03,93.632,1.0,1.0,-0.004919,-0.005119,1.002519,1.261393
2010-08-02,106.23,93.838,1.0,1.0,0.019464,0.019464,1.022032,1.285944
2010-08-03,115.79,93.952,1.0,1.0,0.005795,0.005795,1.027955,1.293396
2010-08-04,117.26,94.022,1.0,1.0,0.001901,0.001901,1.02991,1.295855
2010-08-05,116.0,94.07,1.0,1.0,-0.004492,-0.004492,1.025284,1.290035
