date,strategy,benchmark,exposure,pnl,nav,dtp_gated
1999-06-01,1.0,1.20239,0.0,0.0,1.0,1
1999-06-02,1.0,1.217085,0.0,0.0,1.0,1
1999-06-03,1.0,1.230881,0.0,0.0,1.0,1
1999-06-04,1.0,1.23373,0.0,0.0,1.0,1
1999-06-05,1.0,1.241672,0.0,0.0,1.0,1
1999-06-07,1.0,1.268229,0.0,0.0,1.0,1
1999-06-08,1.0,1.282766,0.0,0.0,1.0,1
1999-06-09,1.0,1.293426,0.0,0.0,1.0,1
1999-06-10,1.0,1.299773,0.0,0.0,1.0,1
1999-06-11,1.0,1.296951,0.0,-0.0,1.0,1
1999-06-14,1.0,1.296005,0.0,-0.0,1.0,1
1999-06-15,1.0,1.293798,0.0,-0.0,1.0,1
1999-06-16,1.0,1.309892,0.0,0.0,1.0,1
1999-06-17,1.0,1.344893,0.0,0.0,1.0,1
1999-06-21,1.0,1.367505,0.0,0.0,1.0,1
1999-06-22,1.0,1.39927,0.0,0.0,1.0,1
1999-06-23,1.0,1.38032,0.0,-0.0,1.0,1
1999-06-24,1.0,1.396084,0.0,0.0,1.0,1
1999-06-25,1.0,1.343528,0.0,-0.0,1.0,1
1999-06-28,1.0,1.346045,0.0,0.0,1.0,1
1999-06-29,1.0,1.383887,0.0,0.0,1.0,1
1999-06-30,1.0,1.376264,0.0,-0.0,1.0,1
1999-07-02,1.0,1.393285,0.0,0.0,1.0,1
1999-07-03,1.0,1.391897,0.0,-0.0,1.0,1
1999-07-05,1.0,1.396741,0.0,0.0,1.0,1
1999-07-06,1.0,1.374171,0.0,-0.0,1.0,1
1999-07-07,1.0,1.376703,0.0,0.0,1.0,1
1999-07-08,1.0,1.396591,0.0,0.0,1.0,1
1999-07-09,1.0,1.389739,0.0,-0.0,1.0,1
1999-07-12,1.0,1.3757,0.0,-0.0,1.0,1
1999-07-13,1.0,1.333538,0.0,-0.0,1.0,1
1999-07-14,1.0,1.282202,0.0,-0.0,1.0,1
1999-07-15,1.0,1.286978,0.0,0.0,1.0,1
1999-07-16,1.0,1.204659,0.0,-0.0,1.0,1
1999-07-17,1.0,1.197288,0.0,-0.0,1.0,1
1999-07-19,1.0,1.200646,0.0,0.0,1.0,1
1999-07-20,1.0,1.268905,0.0,0.0,1.0,1
1999-07-21,1.0,1.265622,0.0,-0.0,1.0,1
1999-07-22,1.0,1.248071,0.0,-0.0,1.0,1
1999-07-23,1.0,1.255523,0.0,0.0,1.0,1
1999-07-26,1.0,1.234587,0.0,-0.0,1.0,1
1999-07-27,1.0,1.197571,0.0,-0.0,1.0,1
1999-07-28,1.0,1.216511,0.0,0.0,1.0,1
1999-07-29,1.0,1.196173,0.0,-0.0,1.0,1
1999-07-30,1.0,1.204908,0.0,0.0,1.0,1
1999-07-31,1.0,1.190871,0.0,-0.0,1.0,1
1999-08-02,1.0,1.169609,0.0,-0.0,1.0,1
1999-08-03,1.0,1.166237,0.0,-0.0,1.0,1
1999-08-04,1.0,1.155771,0.0,-0.0,1.0,1
1999-08-05,1.0,1.131216,0.0,-0.0,1.0,1
1999-08-06,1.0,1.109077,0.0,-0.0,1.0,1
1999-08-07,1.0,1.145846,0.0,0.0,1.0,1
1999-08-09,1.0,1.142315,0.0,-0.0,1.0,1
1999-08-10,1.0,1.181582,0.0,0.0,1.0,1
1999-08-11,1.0,1.174931,0.0,-0.0,1.0,1
1999-08-12,1.0,1.191438,0.0,0.0,1.0,1
1999-08-13,1.0,1.239518,0.0,0.0,1.0,1
1999-08-16,1.0,1.303301,0.0,0.0,1.0,1
1999-08-17,1.0,1.31386,0.0,0.0,1.0,1
1999-08-18,1.0,1.299277,0.0,-0.0,1.0,1
1999-08-19,1.0,1.294557,0.0,-0.0,1.0,1
1999-08-20,1.0,1.319384,0.0,0.0,1.0,1
1999-08-21,1.0,1.32526,0.0,0.0,1.0,1
1999-08-23,1.0,1.3198,0.0,-0.0,1.0,1
1999-08-24,1.0,1.297762,0.0,-0.0,1.0,1
1999-08-25,1.0,1.320956,0.0,0.0,1.0,1
1999-08-26,1.0,1.316158,0.0,-0.0,1.0,1
1999-08-27,1.0,1.309071,0.0,-0.0,1.0,1
1999-08-30,1.0,1.311898,0.0,0.0,1.0,1
1999-08-31,1.0,1.325936,0.0,0.0,1.0,1
1999-09-01,1.0,1.344726,0.0,0.0,1.0,1
1999-09-02,1.0,1.337057,0.0,-0.0,1.0,1
1999-09-03,1.0,1.312322,0.0,-0.0,1.0,1
1999-09-04,1.0,1.310882,0.0,-0.0,1.0,1
1999-09-06,1.0,1.321475,0.0,0.0,1.0,1
1999-09-07,1.0,1.291483,0.0,-0.0,1.0,1
1999-09-08,1.0,1.295959,0.0,0.0,1.0,1
1999-09-09,1.0,1.304366,0.0,0.0,1.0,1
1999-09-10,1.0,1.326543,0.0,0.0,1.0,1
1999-09-13,1.0,1.329343,0.0,0.0,1.0,1
1999-09-14,1.0,1.315256,0.0,-0.0,1.0,1
1999-09-15,1.0,1.295592,0.0,-0.0,1.0,1
1999-09-16,1.0,1.295244,0.0,-0.0,1.0,1
1999-09-17,1.0,1.286796,0.0,-0.0,1.0,1
1999-09-18,1.0,1.303051,0.0,0.0,1.0,1
1999-09-20,1.0,1.295771,0.0,-0.0,1.0,1
1999-09-27,1.0,1.261279,0.0,-0.0,1.0,1
1999-09-28,1.0,1.231684,0.0,-0.0,1.0,1
1999-09-29,1.0,1.237795,0.0,0.0,1.0,1
1999-09-30,1.0,1.235088,0.0,-0.0,1.0,1
1999-10-01,1.0,1.250724,0.0,0.0,1.0,1
1999-10-02,1.0,1.244963,0.0,-0.0,1.0,1
1999-10-04,1.0,1.249178,0.0,0.0,1.0,1
1999-10-05,1.0,1.228297,0.0,-0.0,1.0,1
1999-10-06,1.0,1.219295,0.0,-0.0,1.0,1
1999-10-07,1.0,1.237235,0.0,0.0,1.0,1
1999-10-08,1.0,1.227642,0.0,-0.0,1.0,1
1999-10-11,1.0,1.23644,0.0,0.0,1.0,1
1999-10-12,1.0,1.273541,0.0,0.0,1.0,1
1999-10-13,1.0,1.273796,0.0,0.0,1.0,1
1999-10-14,1.0,1.28078,0.0,0.0,1.0,1
1999-10-15,1.0,1.270895,0.0,-0.0,1.0,1
1999-10-16,1.0,1.272569,0.0,0.0,1.0,1
1999-10-18,1.0,1.258894,0.0,-0.0,1.0,1
1999-10-19,1.0,1.250394,0.0,-0.0,1.0,1
1999-10-20,1.0,1.246116,0.0,-0.0,1.0,1
1999-10-21,1.0,1.244208,0.0,-0.0,1.0,1
1999-10-22,1.0,1.228723,0.0,-0.0,1.0,1
1999-10-25,1.0,1.248429,0.0,0.0,1.0,1
1999-10-26,1.0,1.251585,0.0,0.0,1.0,1
1999-10-27,1.0,1.251736,0.0,0.0,1.0,1
1999-10-28,1.0,1.248588,0.0,-0.0,1.0,1
1999-10-29,1.0,1.252622,0.0,0.0,1.0,1
1999-10-30,1.0,1.276707,0.0,0.0,1.0,1
1999-11-01,1.0,1.270212,0.0,-0.0,1.0,1
1999-11-02,1.0,1.255047,0.0,-0.0,1.0,1
1999-11-03,1.0,1.232048,0.0,-0.0,1.0,1
1999-11-04,1.0,1.214029,0.0,-0.0,1.0,1
1999-11-05,1.0,1.217122,0.0,0.0,1.0,1
1999-11-06,1.0,1.198967,0.0,-0.0,1.0,1
1999-11-08,1.0,1.203019,0.0,0.0,1.0,1
1999-11-09,1.0,1.196713,0.0,-0.0,1.0,1
1999-11-10,1.0,1.203071,0.0,0.0,1.0,1
1999-11-11,1.0,1.224267,0.0,0.0,1.0,1
1999-11-15,1.0,1.22635,0.0,0.0,1.0,1
1999-11-16,1.0,1.236292,0.0,0.0,1.0,1
1999-11-17,1.0,1.242725,0.0,0.0,1.0,1
1999-11-18,1.0,1.254473,0.0,0.0,1.0,1
1999-11-19,1.0,1.263047,0.0,0.0,1.0,1
