date,adj
2009-11-06,23.2039
2009-11-09,23.2149
2009-11-10,23.4006
2009-11-11,23.488
2009-11-12,23.6082
2009-11-13,23.5863
2009-11-16,23.8157
2009-11-17,23.8376
2009-11-18,24.0342
2009-11-19,24.0888
2009-11-20,23.8376
2009-11-23,23.7174
2009-11-24,23.8703
2009-11-25,24.0342
2009-11-26,24.0342
2009-11-27,23.346
2009-11-30,23.6191
2009-12-01,23.6846
2009-12-02,23.8157
2009-12-03,23.7829
2009-12-04,23.7283
2009-12-07,23.925
2009-12-08,23.8485
2009-12-09,24.0014
2009-12-10,23.7283
2009-12-11,24.1435
2009-12-14,24.3838
2009-12-15,24.3401
2009-12-16,24.1435
2009-12-17,24.0888
2009-12-18,24.0342
2009-12-21,24.2855
2009-12-22,24.4056
2009-12-23,24.4166
2009-12-24,24.5914
2009-12-25,24.6351
2009-12-28,24.7989
2009-12-29,24.7552
2009-12-30,25.1267
2009-12-31,25.5637
2010-01-04,25.6729
2010-01-05,25.5637
2010-01-06,25.946
2010-01-07,25.7275
2010-01-08,26.0006
2010-01-11,26.2738
2010-01-12,26.1317
2010-01-13,25.8477
2010-01-14,26.2191
2010-01-15,26.3502
2010-01-18,26.2301
2010-01-19,26.2082
2010-01-20,25.8914
2010-01-21,25.6401
2010-01-22,25.1813
2010-01-25,25.083
2010-01-26,24.6241
2010-01-27,24.1435
2010-01-28,24.5695
2010-01-29,24.4166
2010-02-01,24.1872
2010-02-02,24.0342
2010-02-03,24.3292
2010-02-04,24.2527
2010-02-05,23.1712
2010-02-06,23.3132
2010-02-08,23.3241
2010-02-09,23.7611
2010-02-10,23.9796
2010-02-22,24.1435
2010-02-23,24.3401
2010-02-24,24.1216
2010-02-25,24.0014
2010-02-26,23.925
2010-03-01,24.4166
2010-03-02,24.1981
2010-03-03,24.362
2010-03-04,24.1981
2010-03-05,24.4712
2010-03-08,24.788
2010-03-09,24.6788
2010-03-10,24.788
2010-03-11,24.5586
2010-03-12,24.4821
2010-03-15,24.2855
2010-03-16,24.3292
2010-03-17,24.5804
2010-03-18,24.7443
2010-03-19,24.7771
2010-03-22,24.7989
2010-03-23,24.7443
2010-03-24,24.7443
2010-03-25,24.7989
2010-03-26,24.7989
2010-03-29,24.8099
2010-03-30,24.788
2010-03-31,24.9082
2010-04-01,25.0939
2010-04-02,25.083
2010-04-06,25.2578
2010-04-07,25.4763
2010-04-08,25.3779
2010-04-09,25.4107
2010-04-12,25.3998
2010-04-13,25.1376
2010-04-14,25.3452
2010-04-15,25.4653
2010-04-16,25.5418
2010-04-19,24.8099
2010-04-20,25.1267
2010-04-21,25.1813
2010-04-22,25.1267
2010-04-23,25.1485
2010-04-26,25.509
2010-04-27,25.52
2010-04-28,25.4763
2010-04-29,25.5309
2010-04-30,25.4981
2010-05-03,25.4544
2010-05-04,25.4326
2010-05-05,25.0502
2010-05-06,24.7989
2010-05-07,24.5804
2010-05-10,24.7989
2010-05-11,24.6023
2010-05-12,24.6023
2010-05-13,24.8426
2010-05-14,24.9737
2010-05-17,24.4821
2010-05-18,24.4275
2010-05-19,24.6678
2010-05-20,24.362
2010-05-21,23.8157
2010-05-24,24.0014
2010-05-25,23.3897
2010-05-26,23.4334
2010-05-27,23.5972
2010-05-28,23.772
2010-05-31,23.8922
2010-06-01,23.8157
2010-06-02,23.5208
2010-06-03,23.8157
2010-06-04,23.7502
2010-06-07,23.488
2010-06-08,23.5098
2010-06-09,23.5317
2010-06-10,23.63
2010-06-11,23.9031
2010-06-14,23.9359
2010-06-15,24.1981
2010-06-17,24.3073
2010-06-18,24.3401
2010-06-21,24.646
2010-06-22,24.646
2010-06-23,24.4166
2010-06-24,24.5258
2010-06-25,24.2964
2010-06-28,24.3183
2010-06-29,24.1653
